nohup: ignoring input
HTTP Server is running on port 80
HTTPS Server is running on port 443
Successfully connected to MongoDB
Got blogs
[2025-11-11T13:35:30.183Z] Blocked suspicious request from 104.253.50.156: GET /.env
[2025-11-11T14:13:54.594Z] Blocked suspicious request from 163.5.241.4: GET /.env
[2025-11-11T14:13:56.036Z] Blocked suspicious request from 163.5.241.16: GET /sendgrid/.env
[2025-11-11T14:51:52.456Z] Blocked suspicious request from 62.169.18.6: GET /info.php
[2025-11-11T14:51:52.508Z] Blocked suspicious request from 62.169.18.6: GET /asdf.php
[2025-11-11T14:51:52.558Z] Blocked suspicious request from 62.169.18.6: GET /development/iinfo.php
[2025-11-11T14:51:52.610Z] Blocked suspicious request from 62.169.18.6: GET /develop/info.php
[2025-11-11T14:51:52.714Z] Blocked suspicious request from 62.169.18.6: GET /dev/phpinfo.php
[2025-11-11T14:51:52.764Z] Blocked suspicious request from 62.169.18.6: GET /helper/phpinfo.php
[2025-11-11T14:51:52.813Z] Blocked suspicious request from 62.169.18.6: GET /help/phpinfo.php
[2025-11-11T14:51:52.867Z] Blocked suspicious request from 62.169.18.6: GET /lara/info.php
[2025-11-11T14:51:52.922Z] Blocked suspicious request from 62.169.18.6: GET /backend/info.php
[2025-11-11T14:51:52.973Z] Blocked suspicious request from 62.169.18.6: GET /temp.php
[2025-11-11T14:51:53.026Z] Blocked suspicious request from 62.169.18.6: GET /laravel/phpinfo.php
[2025-11-11T14:51:53.081Z] Blocked suspicious request from 62.169.18.6: GET /test.php
[2025-11-11T14:51:53.133Z] Blocked suspicious request from 62.169.18.6: GET /services/phpinfo.php
[2025-11-11T14:51:53.185Z] Blocked suspicious request from 62.169.18.6: GET /backend/phpinfo.php
[2025-11-11T14:51:53.243Z] Blocked suspicious request from 62.169.18.6: GET /linusadmin-phpinfo.php
[2025-11-11T14:51:53.295Z] Blocked suspicious request from 62.169.18.6: GET /infophp.php
[2025-11-11T14:51:53.346Z] Blocked suspicious request from 62.169.18.6: GET /infos.php
[2025-11-11T14:51:53.398Z] Blocked suspicious request from 62.169.18.6: GET /dev/info.php
[2025-11-11T14:51:53.506Z] Blocked suspicious request from 62.169.18.6: GET /lara/phpinfo.php
[2025-11-11T14:51:53.561Z] Blocked suspicious request from 62.169.18.6: GET /current/info.php
[2025-11-11T14:51:53.612Z] Blocked suspicious request from 62.169.18.6: GET /server/info.php
[2025-11-11T14:51:53.666Z] Blocked suspicious request from 62.169.18.6: GET /i.php
[2025-11-11T14:51:53.770Z] Blocked suspicious request from 62.169.18.6: GET /php-info.php
[2025-11-11T14:51:53.820Z] Blocked suspicious request from 62.169.18.6: GET /server/phpinfo.php
[2025-11-11T14:51:53.873Z] Blocked suspicious request from 62.169.18.6: GET /xampp/info.php
[2025-11-11T14:51:53.923Z] Blocked suspicious request from 62.169.18.6: GET /phpversion.php
[2025-11-11T14:51:53.979Z] Blocked suspicious request from 62.169.18.6: GET /time.php
[2025-11-11T14:51:54.036Z] Blocked suspicious request from 62.169.18.6: GET /phpinfo.php
[2025-11-11T14:51:54.093Z] Blocked suspicious request from 62.169.18.6: GET /development/phpinfo.php
[2025-11-11T14:51:54.198Z] Blocked suspicious request from 62.169.18.6: GET /help/info.php
[2025-11-11T14:51:54.253Z] Blocked suspicious request from 62.169.18.6: GET /dashboard/phpinfo.php
[2025-11-11T14:51:54.313Z] Blocked suspicious request from 62.169.18.6: GET /services/info.php
[2025-11-11T14:51:54.368Z] Blocked suspicious request from 62.169.18.6: GET /current/phpinfo.php
[2025-11-11T14:51:54.419Z] Blocked suspicious request from 62.169.18.6: GET /service/phpinfo.php
[2025-11-11T14:51:54.472Z] Blocked suspicious request from 62.169.18.6: GET /laravel/info.php
[2025-11-11T14:51:54.526Z] Blocked suspicious request from 62.169.18.6: GET /pinfo.php
[2025-11-11T14:51:54.574Z] Blocked suspicious request from 62.169.18.6: GET /backup/info.php
[2025-11-11T14:51:54.623Z] Blocked suspicious request from 62.169.18.6: GET /backup/phpinfo.php
[2025-11-11T14:51:54.673Z] Blocked suspicious request from 62.169.18.6: GET /xampp/phpinfo.php
[2025-11-11T14:51:54.729Z] Blocked suspicious request from 62.169.18.6: GET /api/phpinfo.php
